DATE,URL,R_avg,G_avg,B_avg,R_std,G_std,B_std,range,genre,historical,interior,landscape,mythological,other,portrait,religious,still-life,study
1480,https://www.wga.hu/art/m/mantegna/08/6madonna.jpg,106.32508344141807,84.66062689148292,87.27711197578901,72.75292763770301,60.81506356892113,55.949855406998005,254.99999999999997,0,0,0,0,0,0,0,1,0,0
1788,https://www.wga.hu/art/v/vigee/h_robert.jpg,59.14702948717949,54.04161666666667,47.24727307692308,61.44644104376822,52.99941605969295,42.55978402531948,254.99999999999997,0,0,0,0,0,0,1,0,0,0
1461,https://www.wga.hu/art/g/gozzoli/5various/3salome.jpg,129.73423533594385,95.38746819835653,69.11808653072751,61.756976608730895,54.5944111166844,43.00749891508558,253.67499999999998,0,0,0,0,0,0,0,1,0,0
1706,https://www.wga.hu/art/p/parodi/giovanni/vincoli2.jpg,156.8954210599334,150.40523307436183,136.64663568257492,44.89139691574129,50.52664642242808,56.911096238410465,254.99999999999997,0,0,0,0,0,0,0,1,0,0
1326,https://www.wga.hu/art/s/simone/4altars/5agostin/7altomon.jpg,160.13903468474652,125.05859233366071,92.18129670894453,65.56314170649344,53.32304765873464,41.076611496709845,254.13099999999997,0,0,0,0,0,0,0,1,0,0
1888,https://www.wga.hu/art/g/gogh_van/09/arles59.jpg,103.06175318640467,100.69369822092406,74.40056160382369,42.642940330965175,50.638784620270236,41.88838584274812,253.74599999999998,0,0,0,0,0,0,0,0,1,0
1916,https://www.wga.hu/art/b/bonnard/late2.jpg,113.01256493238786,116.81592389511873,99.64811283806068,42.05575262637787,33.62385498155624,37.30739186986136,213.009,0,0,0,0,0,1,0,0,0,0
1459,https://www.wga.hu/art/g/gozzoli/3magi/1/11young.jpg,143.15095923557442,119.06444779141256,106.02029702970297,59.65642393902773,61.48145604373496,60.97157956255842,254.99999999999997,0,0,0,0,0,0,0,1,0,0
1304,https://www.wga.hu/art/g/giotto/padova/5heads1/2head024.jpg,95.94479888167388,83.13811958874459,70.9806755050505,42.553761390743304,42.72514931745167,43.259439420391146,225.89000000000001,0,0,0,0,0,0,0,1,0,0
1641,https://www.wga.hu/art/t/teniers/jan2/1/smokers2.jpg,86.53260262378333,75.6850867541261,60.321029411764705,46.13637908817396,39.69416532272046,30.624058809902458,254.185,1,0,0,0,0,0,0,0,0,0
1670,https://www.wga.hu/art/m/murillo/2/212muril.jpg,137.06023425134535,115.55229503007281,99.0766027223805,53.254627260625355,46.17868873286406,42.17534639996546,204.18899999999996,0,0,0,0,0,0,0,1,0,0
1485,https://www.wga.hu/art/m/mantegna/10/scene8.jpg,118.86350983620764,80.97002773203917,57.64640610104862,48.32124208239522,34.104330459702815,24.49246638208394,244.381,0,1,0,0,0,0,0,0,0,0
1524,https://www.wga.hu/art/d/dossi/dosso/sibyl.jpg,81.12230694228846,54.28982134669458,30.359059860458178,61.62231725019564,48.95356698380141,20.235305029958585,231.902,0,0,0,0,1,0,0,0,0,0
1632,https://www.wga.hu/art/c/couwenbe/3young_m.jpg,80.97166077680704,62.1958370144956,52.73485488040313,70.13263999172756,58.58250989674008,44.814501455169804,253.957,0,0,0,0,0,1,0,0,0,0
1650,https://www.wga.hu/art/c/cuyp/aelbert/1/dairymai.jpg,149.57499321440028,130.45318090408864,104.96461309744122,87.59136766042762,93.30926783831397,84.88711735179805,254.185,0,0,0,1,0,0,0,0,0,0
1452,https://www.wga.hu/art/p/piero/2/5/5maxen10.jpg,143.70550146056476,126.56374310288868,114.00065238558909,59.60591497126696,67.95029476053588,68.81738437091957,254.772,0,0,0,0,0,0,0,1,0,0
1530,https://www.wga.hu/art/c/cranach/lucas_e/06/2judith3.jpg,92.69265775529865,64.45799915703276,43.7034375,75.90647681578099,63.40462636058459,49.143745613098545,249.59099999999998,0,0,0,0,0,0,0,1,0,0
1672,https://www.wga.hu/art/v/velde/willem/ships.jpg,107.4735268688481,106.96043562117585,106.12627294493217,54.748046038040336,55.86511927710663,57.52193445239394,229.261,0,0,0,1,0,0,0,0,0,0
1885,https://www.wga.hu/art/s/seurat/landscap/becduhoc.jpg,129.2411791862285,133.0196330203443,97.82493740219093,51.25902356580136,45.979367799202144,53.33620440661941,254.185,0,0,0,1,0,0,0,0,0,0
1632,https://www.wga.hu/art/r/ribera/1/st_paul.jpg,73.57738457525433,44.510478708373185,22.628548604469177,42.940268306897266,26.045005239432882,22.274459230518918,226.85799999999998,0,0,0,0,0,0,0,1,0,0
1517,https://www.wga.hu/art/g/grunewal/3/02stupp2.jpg,95.58868118887266,72.76289615559027,59.027142081366904,67.93091801585301,60.67971887412724,52.186184348344355,254.99999999999997,0,0,0,0,0,0,0,1,0,0
1499,https://www.wga.hu/art/s/signorel/brizio/1/1antich3.jpg,117.11618441778747,105.76302556646068,92.65362534835818,76.60777858204936,61.31117245326334,58.18345716049926,254.70099999999996,0,0,0,0,0,0,0,1,0,0
1725,https://www.wga.hu/art/c/carriera/seasons3.jpg,99.64793753182822,93.78349112518883,88.15313346523467,59.053841260980285,54.76650628613635,50.29298774182441,230.908,0,0,0,0,1,0,0,0,0,0
1588,https://www.wga.hu/art/c/campi/vincenzo/matthew1.jpg,105.54800568181818,75.75681723484848,60.47716003787879,67.02154120301351,52.90391198070735,33.775737957123184,246.63899999999998,0,0,0,0,0,0,0,1,0,0
1481,https://www.wga.hu/art/g/ghirland/domenico/3fresco/2sistin3.jpg,82.04077184054283,72.57475732730185,66.78832155310526,58.12140137823325,57.32283086962602,58.07367521010293,253.61499999999998,0,0,0,0,0,0,0,1,0,0
